"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Warp State Statistics","Warp Cycles Per Issued Instruction","cycle","6.88",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Warp State Statistics","Warp Cycles Per Executed Instruction","cycle","6.88",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Warp State Statistics","Avg. Active Threads Per Warp","","32",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Warp State Statistics","Avg. Not Predicated Off Threads Per Warp","","31.94",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 2.2 cycles being stalled waiting for the micro scheduler to select the warp to issue. Not selected warps are eligible warps that were not picked by the scheduler to issue that cycle as another warp was selected. A high number of not selected warps typically means you have sufficient warps to cover warp latencies and you may consider reducing the number of active warps to possibly increase cache coherence and data locality. This stall type represents about 31.7% of the total average of 6.9 cycles between issuing two instructions.","global","3.343"
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","WarpStateStats","","","","CPIStall","OPT","On average, each warp of this workload spends 2.2 cycles being stalled waiting for the execution pipe to be available. This stall occurs when all active warps execute their next instruction on a specific, oversubscribed math pipeline. Try to increase the number of active warps to hide the existent latency or try changing the instruction mix to utilize all available pipelines in a more balanced way. This stall type represents about 31.6% of the total average of 6.9 cycles between issuing two instructions.","global","3.343"
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","WarpStateStats","","","","CPIStall","INF","Check the Warp Stall Sampling (All Samples) table for the top stall locations in your source based on sampling data. The Profiling Guide (https://docs.nvidia.com/nsight-compute/ProfilingGuide/index.html#metrics-reference) provides more details on each stall reason.","",""
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","15562803.20",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Instruction Statistics","Executed Instructions","inst","2490048512",
"0","93290","cublas_sgemm","127.0.0.1","volta_sgemm_128x64_nn","1","7","(128, 1, 1)","(32, 64, 1)","0","7.5","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","15562836.95",
